dataset,method,method_family,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,raw_hgb_text_byte_ratio,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,validation_micro_f1_mean,validation_macro_f1_mean,validation_proxy_score,recovery_vs_native_full_micro,recovery_vs_native_full_macro,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,success,failure_type,failure_reason,selected_edge_hash,planner_config_hash,source_path,repo_url,stdout_path,stderr_path,export_dir,selection_source,rep_selection_confidence,uses_test_for_selection,eligible_for_decision,source_method
DBLP,Full-native-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.9533802,0.0009855999999999674,0.9498198,0.0010503906701794395,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,,,,,,,,,
DBLP,Export-full-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.9533802,0.0009855999999999674,0.9498198,0.0010503906701794395,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,,,,,,,,,
ACM,Full-native-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.9384324,0.0038076822661561225,0.93918,0.0037022122035345294,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,,,,,,,,,
ACM,Export-full-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.9384324,0.0038076822661561225,0.93918,0.0037022122035345294,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,,,,,,,,,
IMDB,Full-native-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.697974,0.004446550393282424,0.6712752,0.005068051988683633,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,,,,,,,,,
IMDB,Export-full-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.697974,0.004446550393282424,0.6712752,0.005068051988683633,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,,,,,,,,,
ACM,H6-node30,internal_historical_baseline,support_node_ratio,0.3,0.8274864266106432,0.3,0.8341546930669937,0.8274864266106432,,,,,,,,,,,,True,True,False,True,False,True,False,official_training_runtime_error,"Traceback (most recent call last):
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\main.py"", line 588, in <module>
    main(args)
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\main.py"", line 22, in main
    g, adjs, init_labels, num_classes, dl, trainval_nid, test_nid = load_dataset(args)
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\utils.py"", line 383, in load_dataset
    assert torch.all(row == PK.storage.row()) and torch.all(col == PK.storage.col())
RuntimeError: The size of tensor a (255619) must match the size of tensor b (213104) at non-singleton dimension 0",,,D:\HeSF-Coarsen\outputs\gate21_14_cross_h6_training\compressed\gate21_0_compressed_metrics.csv,,outputs\gate21_14_cross_h6_training\compressed\compressed_raw_stdout\ACM_H6-node30_1.log,outputs\gate21_14_cross_h6_training\compressed\compressed_raw_stderr\ACM_H6-node30_1.stderr,,,,,,
IMDB,H6-node30,internal_historical_baseline,support_node_ratio,0.3,0.8926449630767522,0.3,0.9993074952101753,0.8926449630767522,1,5,0.6570166000000001,0.003959152919501895,0.634685,0.004949489549438394,0.6481066,0.6268784000000001,,0.9413811622293182,0.9455935737445905,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_14_cross_h6_training\compressed\gate21_0_compressed_metrics.csv,,,,,,,,,
DBLP,HeSF-RCS-auto structural16,schema_preserving_rcs,structural_storage_ratio,0.16,0.15916430179078186,0.30003171582619725,0.131946937378426,0.5312848976907086,1,5,0.9497888,0.001961691453822424,0.946167,0.0021242329439117753,,,0.937695148,0.9962325245858523,,True,True,True,True,True,True,True,,,bea49e9a3e68d44baafd75257133b6024ee628509587c8c9a9be189930c837a8,23e285fede80cb0af48e105d629b50806ad6773502857f9444fbabd39ffcd3d7,D:\HeSF-Coarsen\outputs\gate21_14_full_execution_push\gate21_14_budgeted_selector_by_method.csv,,,,,,,,,
DBLP,HeSF-RCS-auto structural12,schema_preserving_rcs,structural_storage_ratio,0.12,0.11951718894668302,0.30003171582619725,0.08797575615905429,0.5300203883188904,1,5,0.9447888000000001,0.003112726804587885,0.9405382,0.0032060959686197876,,,0.953770196,0.9909888540742896,,True,True,True,True,True,True,True,,,240529d8a23de77b2e84e2982b97536b1afd41eb1648bc112ccbca988d736476,e1573e8488ad75bf47007b991bb6325033ffcdda25001aa4e662dbadf0b58630,D:\HeSF-Coarsen\outputs\gate21_14_full_execution_push\gate21_14_budgeted_selector_by_method.csv,,,,,,,,,
ACM,HeSF-RCS-auto structural20,schema_preserving_rcs,structural_storage_ratio,0.2,1.0,1.0,1.0,1.0,,1,0.9395659999999999,0.0,0.9402370000000001,0.0,0.966851,0.967076,0.93,,,True,True,True,True,True,True,True,,,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,593b2e1af3041bd6f80a44b5d83f8327ff740b591f0405382e44e28b3b40cba5,outputs\gate21_17_smoke\exports\ACM\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\ACM\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\ACM_HeSF-RCS-auto_structural20_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\ACM_HeSF-RCS-auto_structural20_structural_storage_ratio_0p2_g1_t1.stderr,outputs\gate21_17_smoke\exports\ACM\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\ACM,,,,,
IMDB,HeSF-RCS-auto structural20,schema_preserving_rcs,structural_storage_ratio,0.2,1.0,1.0,1.0,1.0,,1,0.6993510000000001,0.0,0.67012,0.0,0.6915,0.666839,0.93,,,True,True,True,True,True,True,True,,,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,940bb678e401aa999e22ad5712e0a3c6d4b10e9fac736beb0093c41d1c98ad6e,outputs\gate21_17_smoke\exports\IMDB\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\IMDB\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\IMDB_HeSF-RCS-auto_structural20_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\IMDB_HeSF-RCS-auto_structural20_structural_storage_ratio_0p2_g1_t1.stderr,outputs\gate21_17_smoke\exports\IMDB\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\IMDB,,,,,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,0.973352050915338,all_target_preserved,0.20000751358706995,0.973352050915338,3,1,0.785211,0.0,0.7811929999999999,0.0,0.7901229999999999,0.7832009999999999,,,,True,True,True,True,True,True,True,,,52d4747d5093a24e92f912f28125ce50d963ff3d33b5c22b5cb793085bef26c5,547ca953da27970555231a79cdf6df4108415b1c9e10a86c6f6681db457e95d6,outputs\gate21_17_smoke\exports\DBLP\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\DBLP\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\DBLP_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.stderr,outputs\gate21_17_smoke\exports\DBLP\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\DBLP,,,,,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,0.9733514448741529,all_target_preserved,0.2000158620171477,0.9733514448741529,3,1,0.7859149999999999,0.0,0.78125,0.0,0.8107,0.804007,,,,True,True,True,True,True,True,True,,,a8ee7ca10cb29926e83a22fc83d88749f5031ddf733695bfcc5d0f315682b62d,83f4e703207cd1259b1c9ea7ca10cf261bc75aadfc23e953c3a61c10ca72fb22,outputs\gate21_17_smoke\exports\DBLP\1\Degree_edge_relwise\structural_storage_ratio_0p2\official_trainval\DBLP\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\DBLP_Degree-edge-relwise_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_Degree-edge-relwise_structural_storage_ratio_0p2_g1_t1.stderr,outputs\gate21_17_smoke\exports\DBLP\1\Degree_edge_relwise\structural_storage_ratio_0p2\official_trainval\DBLP,,,,,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.2,0.9731947453502058,all_target_preserved,0.2000158620171477,0.9731947453502058,3,1,0.796831,0.0,0.7913209999999999,0.0,0.773663,0.7668729999999999,,,,True,True,True,True,True,True,True,,,1f258538b0ece5ea8c89cbc718c71747acfbd897c88c37715d6cde5309031996,3626a28b2e10ce0658ce2df206397d3ba26b2c123a10545c1bb6af4f57ac6421,outputs\gate21_17_smoke\exports\DBLP\1\Proportional_relation_budget\structural_storage_ratio_0p2\official_trainval\DBLP\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\DBLP_Proportional-relation-budget_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_Proportional-relation-budget_structural_storage_ratio_0p2_g1_t1.stderr,outputs\gate21_17_smoke\exports\DBLP\1\Proportional_relation_budget\structural_storage_ratio_0p2\official_trainval\DBLP,,,,,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,1.0,1.0,1.0,1.0,3,1,0.9395659999999999,0.0,0.9402370000000001,0.0,0.966851,0.967076,,,,True,True,True,True,True,True,True,,,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,2dd34fc5bb1fca04e54a2a9f1ad8122826db84e15cb2e9da329ba8c4dc489c94,outputs\gate21_17_smoke\exports\ACM\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\ACM\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\ACM_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\ACM_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.stderr,outputs\gate21_17_smoke\exports\ACM\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\ACM,,,,,
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,1.0,1.0,1.0,1.0,3,1,0.6993510000000001,0.0,0.67012,0.0,0.6915,0.666839,,,,True,True,True,True,True,True,True,,,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,b40f710763d5ef9e781f233b1fefcae463b24a8160f275db2ec86b62cadd798b,outputs\gate21_17_smoke\exports\IMDB\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\IMDB\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\IMDB_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\IMDB_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.stderr,outputs\gate21_17_smoke\exports\IMDB\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\IMDB,,,,,
